execution,arm,workload,slo_class,n,ttft_mean,ttft_p50,ttft_p95,ttft_p99,tpot_mean,tpot_p50,tpot_p95,tpot_p99,e2e_mean,e2e_p50,e2e_p95,e2e_p99
results.2,quarticceiling,balanced_10,critical,2384.0,152.04629236577182,132.4005,284.8212,395.36440000000005,32.25081975908533,31.47339068627451,44.848482584732345,47.623279801169595,8388.14498238255,8219.532,12784.2881,15012.636660000004
results.2,quarticceiling,balanced_10,sheddable,2416.0,170.55791928807946,139.4065,340.267,768.7657999999991,32.22312825954201,31.253093243243242,45.004344719894476,47.9618507761982,8343.427572847682,8126.622,12957.516500000002,15547.384449999994
results.2,quarticceiling,balanced_15,critical,3633.0,5644.909238921002,3852.14,17542.917199999974,22118.12196,61.083693240824545,61.287912280701754,71.91412199999999,77.37265944490473,21278.683619322874,20040.257,34970.0036,43240.421359999986
results.2,quarticceiling,balanced_15,sheddable,3667.0,112645.05968584673,128052.323,180658.9416,188244.57662,62.59787996544049,62.66289783281734,78.16267112989324,85.10409123651367,128556.80247804744,142331.28,197244.01870000002,207896.00726
results.2,quarticceiling,balanced_5,critical,1135.0,93.64554273127753,87.722,145.16369999999998,171.5379000000003,18.089779975078052,17.987262773722627,20.16151089192447,20.80477290344477,4681.603204405286,4701.412,6458.7478,7402.539420000005
results.2,quarticceiling,balanced_5,sheddable,1165.0,95.03163862660944,87.387,146.92439999999996,186.4974799999999,18.086291322090666,17.955390151515154,20.2187662615473,20.834018412713057,4688.674548497855,4680.02,6647.066400000001,7485.246119999998
results.2,quarticceiling,balanced_8,critical,1877.0,117.25393287160361,104.562,195.00779999999995,250.55312,23.98091113220542,23.48917667844523,30.2957248327003,32.66283948971485,6235.028551944592,6168.095,9118.944199999998,10728.590680000001
results.2,quarticceiling,balanced_8,sheddable,1923.0,119.67152834113364,108.159,201.9936999999999,264.4156,24.036064941022076,23.350072674418602,30.843313138695937,34.226168662021955,6210.276641185646,6166.754,9169.7083,10769.904959999998
results.3,constantcontrol,balanced_10,critical,2384.0,158.9246132550336,136.9515,292.3590999999999,407.09426000000065,32.97963317504566,32.04677697643691,46.46613089307619,50.528686816845685,8579.902367449664,8391.630000000001,13226.5312,15592.276810000001
results.3,constantcontrol,balanced_10,sheddable,2416.0,166.44951531456954,141.74349999999998,294.0565,447.29814999999945,32.95466417869317,31.90089619883041,46.3888027310555,50.50821378578296,8524.91597557947,8267.741,13343.98325,15886.889149999999
results.3,constantcontrol,balanced_15,critical,3632.0,12133.141393997797,11572.134999999998,21764.754,25447.117490000004,72.2030498203676,72.28609956563707,80.06425350266107,86.67805680280233,30560.289407764318,30301.7615,42717.6211,48698.36972
results.3,constantcontrol,balanced_15,sheddable,3667.0,92503.69311508044,108984.229,158747.3718,163989.22587999998,67.72974775096866,69.47104306220096,75.79082186599142,80.05803639319728,109797.8498355604,118333.462,177276.1056,184715.16948
results.3,constantcontrol,balanced_5,critical,1135.0,91.75852334801762,85.516,146.3226,167.39892000000003,18.701526086737772,18.61929073482428,21.060797889075747,21.859320934001545,4835.472749779736,4851.152,6718.7215,7702.154680000005
results.3,constantcontrol,balanced_5,sheddable,1165.0,92.65502060085836,85.682,150.20779999999996,189.10103999999976,18.7214707729091,18.587939516129033,21.12794315245478,21.76020357144451,4845.61274334764,4826.816,6927.286999999998,7721.441359999998
results.3,constantcontrol,balanced_8,critical,1877.0,120.00677144379328,106.125,202.44799999999992,254.80812,24.105050075749908,23.588387218045114,30.251853825284847,32.7337369012095,6269.40109802877,6208.089,9154.613799999996,10782.75088
results.3,constantcontrol,balanced_8,sheddable,1923.0,122.22988247529902,109.691,204.16849999999994,276.70148,24.15922030157775,23.491972307692308,30.7615977087807,34.33425471278687,6244.639267810713,6195.83,9193.0974,10802.062919999998
results.3,quartic,balanced_10,critical,2384.0,149.88681837248325,132.7045,270.67535,365.1884300000003,31.925136149269626,31.04372036199095,44.699654732922106,48.37604675585284,8302.26873909396,8135.5885,12671.193699999998,14888.775450000006
